Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-02-10,MARUTI,EQ,6157.1,6170.0,6173.75,6096.4,6110.0,6112.25,6127.09,284471,174297964725000.0,26845.0,144862,0.5092
2017-02-13,MARUTI,EQ,6112.25,6092.0,6139.9,6002.0,6012.0,6022.0,6048.77,404675,244778511494999.97,41543.0,231026,0.5709000000000001
2017-02-14,MARUTI,EQ,6022.0,6045.0,6045.0,5928.1,5934.25,5939.85,5965.9,439745,262347513944999.97,41629.0,273437,0.6218
2017-02-15,MARUTI,EQ,5939.85,5950.0,5961.8,5842.2,5859.55,5862.7,5892.58,609791,359324145660000.0,53148.0,351027,0.5757
2017-02-16,MARUTI,EQ,5862.7,5860.0,6037.95,5860.0,6030.75,6024.55,5975.37,576390,344414513610000.0,43660.0,207001,0.3591
2017-02-17,MARUTI,EQ,6024.55,6038.0,6055.85,5955.05,5979.6,5989.75,6001.98,326378,195891278705000.0,30030.0,105559,0.3234
2017-02-20,MARUTI,EQ,5989.75,5989.75,6120.75,5912.3,6083.0,6093.15,6051.59,504439,305265996560000.0,37778.0,155451,0.30820000000000003
2017-02-21,MARUTI,EQ,6093.15,6071.1,6090.65,6043.0,6062.0,6063.15,6060.81,287864,174468889890000.0,34020.0,137975,0.4793
2017-02-22,MARUTI,EQ,6063.15,6073.0,6116.15,6040.0,6071.05,6079.65,6080.75,431264,262240952050000.0,54482.0,206260,0.4783
2017-02-23,MARUTI,EQ,6079.65,6090.0,6092.1,6015.05,6030.0,6031.0,6057.44,461009,279253543215000.0,50333.0,262964,0.5704
2017-02-27,MARUTI,EQ,6031.0,6005.0,6050.95,5940.0,5940.0,5951.5,5987.0,394395,236124465015000.0,38715.0,191833,0.4864
2017-02-28,MARUTI,EQ,5951.5,5946.3,6000.0,5914.8,5927.0,5922.5,5949.53,558820,332471470545000.0,53664.0,335280,0.6
2017-03-01,MARUTI,EQ,5922.5,5960.0,5998.8,5885.15,5915.5,5919.6,5938.83,559896,332512775790000.0,50986.0,195417,0.349
2017-03-02,MARUTI,EQ,5919.6,5951.0,5998.8,5900.25,5928.75,5918.75,5946.37,473769,281720394190000.0,52375.0,195525,0.41270000000000007
2017-03-03,MARUTI,EQ,5918.75,5924.0,5928.95,5875.0,5892.0,5887.75,5891.63,362057,213310740230000.0,37327.0,160180,0.4424
2017-03-06,MARUTI,EQ,5887.75,5925.5,5974.8,5912.0,5927.0,5934.85,5941.9,361209,214626775235000.0,44620.0,187984,0.5204
2017-03-07,MARUTI,EQ,5934.85,5931.0,5954.0,5881.0,5885.1,5888.5,5902.29,373103,220216249805000.03,35893.0,221465,0.5936
2017-03-08,MARUTI,EQ,5888.5,5895.0,5904.9,5800.0,5875.2,5864.15,5846.94,639968,374185474465000.0,68147.0,395717,0.6183
2017-03-09,MARUTI,EQ,5864.15,5884.0,5975.0,5864.15,5958.95,5964.4,5941.96,598391,355561636560000.0,59159.0,231355,0.3866
2017-03-10,MARUTI,EQ,5964.4,5997.0,6008.4,5936.05,5947.0,5955.6,5963.66,443986,264778113644999.97,46047.0,232108,0.5228
2017-03-14,MARUTI,EQ,5955.6,6060.0,6144.4,6010.0,6134.9,6132.4,6086.74,875005,532592779760000.06,86743.0,448500,0.5126
2017-03-15,MARUTI,EQ,6132.4,6115.0,6168.8,6092.5,6128.0,6137.35,6136.58,384040,235669355880000.03,45913.0,161845,0.4214
2017-03-16,MARUTI,EQ,6137.35,6159.6,6186.3,6131.7,6153.0,6155.45,6155.24,252721,155555872230000.0,35083.0,122887,0.4863
2017-03-17,MARUTI,EQ,6155.45,6165.0,6226.8,6150.0,6191.0,6192.6,6193.21,1048024,649063421970000.0,64547.0,667470,0.6369
2017-03-20,MARUTI,EQ,6192.6,6220.0,6220.0,6151.1,6164.9,6158.9,6169.59,207710,128148619920000.0,23029.0,94627,0.4556
2017-03-21,MARUTI,EQ,6158.9,6164.75,6200.55,6051.85,6090.0,6076.3,6106.34,532134,324939158215000.0,49984.0,338539,0.6362
2017-03-22,MARUTI,EQ,6076.3,6046.4,6053.4,5977.4,6007.9,6005.8,6005.67,462793,277938100485000.0,55819.0,258536,0.5586
2017-03-23,MARUTI,EQ,6005.8,6015.9,6069.0,6015.9,6027.85,6034.8,6039.91,447530,270304174319999.97,36568.0,287514,0.6424
2017-03-24,MARUTI,EQ,6034.8,6047.0,6047.0,5992.1,6009.9,6004.65,6009.9,573292,344543023930000.0,41707.0,441703,0.7705
2017-03-27,MARUTI,EQ,6004.65,5977.0,6020.0,5965.65,5985.0,5985.8,5990.57,340512,203986252465000.0,31993.0,196270,0.5764
2017-03-28,MARUTI,EQ,5985.8,5971.2,6049.0,5962.55,5980.05,5974.25,6003.55,505962,303756811405000.0,46713.0,300845,0.5946
2017-03-29,MARUTI,EQ,5974.25,6008.9,6008.9,5929.35,5940.0,5944.15,5971.51,494597,295349211825000.0,51134.0,262927,0.5316
2017-03-30,MARUTI,EQ,5944.15,5965.0,6000.9,5935.05,5951.0,5956.6,5962.99,898999,536071963660000.06,80501.0,563476,0.6268
2017-03-31,MARUTI,EQ,5956.6,5952.0,6041.0,5940.1,6035.0,6015.7,6001.98,501939,301262666505000.0,39654.0,285013,0.5678
2017-04-03,MARUTI,EQ,6015.7,6095.0,6095.0,6030.0,6069.05,6072.0,6060.5,378716,229520963250000.0,34732.0,191482,0.5056
2017-04-05,MARUTI,EQ,6072.0,6110.0,6359.0,6071.05,6335.0,6342.4,6248.28,1076674,672736406400000.0,83249.0,465369,0.4322
2017-04-06,MARUTI,EQ,6342.4,6335.0,6336.0,6260.0,6266.15,6291.65,6285.78,505863,317974184505000.0,39709.0,218070,0.4311
2017-04-07,MARUTI,EQ,6291.65,6250.0,6336.0,6236.05,6265.0,6259.35,6293.16,467235,294038339750000.0,30380.0,181851,0.38920000000000005
2017-04-10,MARUTI,EQ,6259.35,6282.0,6307.8,6245.05,6265.0,6268.85,6276.64,318486,199902341625000.0,35669.0,140243,0.4403
2017-04-11,MARUTI,EQ,6268.85,6274.8,6305.0,6230.0,6241.25,6247.8,6268.99,373105,233899058860000.0,45238.0,204494,0.5481
2017-04-12,MARUTI,EQ,6247.8,6263.9,6263.9,6126.7,6149.4,6154.5,6170.16,415372,256291302055000.03,55591.0,175656,0.4229
2017-04-13,MARUTI,EQ,6154.5,6155.0,6175.0,6066.9,6070.6,6077.95,6112.54,386820,236445209794999.97,50276.0,216743,0.5603
2017-04-17,MARUTI,EQ,6077.95,6070.6,6137.5,6021.0,6122.0,6115.55,6100.27,342286,208803769025000.0,45316.0,130889,0.3824
2017-04-18,MARUTI,EQ,6115.55,6120.0,6234.35,6120.0,6126.0,6137.15,6185.69,453391,280453631225000.0,43700.0,201735,0.4449
2017-04-19,MARUTI,EQ,6137.15,6131.9,6222.35,6113.8,6206.0,6196.95,6167.82,366504,226052960519999.97,54250.0,184760,0.5041
2017-04-20,MARUTI,EQ,6196.95,6200.0,6303.15,6188.0,6255.0,6273.5,6255.28,466934,292080066245000.0,48658.0,226381,0.48479999999999995
2017-04-21,MARUTI,EQ,6273.5,6283.9,6295.05,6177.0,6181.95,6185.8,6223.73,294827,183492420630000.0,27790.0,114999,0.3901
2017-04-24,MARUTI,EQ,6185.8,6223.2,6335.0,6200.0,6304.85,6318.35,6280.19,426893,268097103015000.0,49820.0,193574,0.4534
2017-04-25,MARUTI,EQ,6318.35,6327.7,6350.0,6282.5,6330.35,6337.2,6322.24,384281,242951707419999.97,51267.0,202802,0.5277000000000001
2017-04-26,MARUTI,EQ,6337.2,6335.0,6424.75,6311.0,6395.45,6406.3,6390.89,540500,345427511050000.0,58174.0,205721,0.38060000000000005
2017-04-27,MARUTI,EQ,6406.3,6439.0,6450.0,6320.35,6355.0,6374.05,6399.44,1087684,696056802070000.0,78321.0,243289,0.2237
2017-04-28,MARUTI,EQ,6374.05,6410.0,6589.8,6390.55,6511.0,6524.85,6512.12,949573,618373192205000.0,78498.0,272535,0.287
2017-05-02,MARUTI,EQ,6524.85,6676.0,6730.0,6618.0,6690.0,6705.5,6674.49,888539,593054297855000.0,83017.0,322973,0.36350000000000005
2017-05-03,MARUTI,EQ,6705.5,6714.8,6714.95,6631.1,6656.0,6644.0,6660.28,370021,246444263060000.0,33758.0,157112,0.42460000000000003
2017-05-04,MARUTI,EQ,6644.0,6662.0,6686.95,6626.0,6632.0,6639.8,6648.03,372533,247660889169999.97,45343.0,186615,0.5009
2017-05-05,MARUTI,EQ,6639.8,6625.55,6676.4,6602.0,6649.0,6654.15,6648.45,337498,224383875385000.0,28278.0,168055,0.4979
2017-05-08,MARUTI,EQ,6654.15,6688.0,6703.65,6612.55,6626.0,6630.55,6661.82,208481,138886224140000.02,26270.0,90691,0.435
2017-05-09,MARUTI,EQ,6630.55,6666.0,6666.0,6615.0,6632.0,6629.3,6639.94,215203,142893494735000.0,31420.0,117456,0.5458
2017-05-10,MARUTI,EQ,6629.3,6645.0,6754.0,6635.9,6746.8,6737.75,6705.54,295859,198389289310000.0,34189.0,141822,0.4794
2017-05-11,MARUTI,EQ,6737.75,6749.0,6789.4,6711.1,6755.0,6762.5,6757.96,259056,175068923900000.0,34610.0,98498,0.38020000000000004
2017-05-12,MARUTI,EQ,6762.5,6798.0,6798.0,6691.0,6727.0,6730.2,6727.51,256491,172554514375000.0,27117.0,116411,0.4539
2017-05-15,MARUTI,EQ,6730.2,6759.4,6839.1,6733.45,6824.0,6823.9,6796.84,336356,228615783790000.0,31377.0,154743,0.4601
2017-05-16,MARUTI,EQ,6823.9,6850.0,6977.55,6830.0,6968.4,6953.95,6902.22,707624,488417380035000.06,49047.0,360641,0.5097
2017-05-17,MARUTI,EQ,6953.95,6950.0,6979.0,6885.85,6945.0,6958.2,6931.6,445461,308775753530000.0,65280.0,260033,0.5837
2017-05-18,MARUTI,EQ,6958.2,6918.3,6948.0,6814.45,6822.0,6831.05,6869.68,406814,279468394535000.0,37063.0,188907,0.4644
2017-05-19,MARUTI,EQ,6831.05,6854.8,6893.9,6691.55,6756.3,6790.55,6791.6,552223,375047503730000.0,64293.0,234662,0.42490000000000006
2017-05-22,MARUTI,EQ,6790.55,6803.95,6843.95,6689.25,6694.3,6701.7,6732.22,327493,220475598294999.97,36146.0,158645,0.4844
2017-05-23,MARUTI,EQ,6701.7,6765.0,6910.0,6743.65,6867.95,6878.85,6855.36,956457,655686038715000.0,98981.0,414258,0.43310000000000004
2017-05-24,MARUTI,EQ,6878.85,6903.0,6912.55,6813.0,6865.0,6869.65,6863.75,433647,297644446450000.0,48950.0,191595,0.4418
2017-05-25,MARUTI,EQ,6869.65,6879.95,7018.0,6835.0,6970.0,6985.7,6916.65,435721,301372980595000.0,44648.0,177404,0.4072
2017-05-26,MARUTI,EQ,6985.7,6971.15,7085.05,6936.2,7068.05,7064.8,7049.7,373937,263614437394999.97,30388.0,92677,0.24780000000000002
2017-05-29,MARUTI,EQ,7064.8,7050.0,7197.8,7025.55,7144.0,7134.45,7130.02,427378,304721505600000.0,46353.0,131172,0.3069
2017-05-30,MARUTI,EQ,7134.45,7134.45,7206.6,7084.15,7138.05,7147.5,7136.66,403698,288105438805000.0,34630.0,166452,0.4123
2017-05-31,MARUTI,EQ,7147.5,7138.0,7248.0,7134.95,7219.75,7211.0,7211.55,650259,468937553875000.0,69023.0,355423,0.5466
2017-06-01,MARUTI,EQ,7211.0,7242.0,7245.0,7110.1,7150.0,7146.6,7165.03,649217,465166071439999.94,74481.0,276770,0.4263
2017-06-02,MARUTI,EQ,7146.6,7182.0,7187.7,7100.0,7110.6,7114.7,7135.0,310268,221376158919999.97,33719.0,153510,0.49479999999999996
2017-06-05,MARUTI,EQ,7114.7,7139.8,7161.9,7091.1,7116.05,7125.7,7126.86,296147,211059911605000.0,31551.0,137016,0.46270000000000006
2017-06-06,MARUTI,EQ,7125.7,7134.0,7154.3,7085.05,7118.95,7112.1,7110.16,324579,230780956265000.0,45217.0,197591,0.6088
2017-06-07,MARUTI,EQ,7112.1,7135.0,7225.0,7107.6,7198.0,7205.7,7189.75,518152,372538078955000.0,44672.0,192737,0.37200000000000005
2017-06-08,MARUTI,EQ,7205.7,7199.0,7274.95,7198.0,7260.0,7249.5,7231.51,426525,308441977625000.0,56722.0,229606,0.5383
2017-06-09,MARUTI,EQ,7249.5,7271.0,7480.9,7230.0,7474.9,7464.85,7384.15,1122640,828974222090000.0,91222.0,395926,0.3527
2017-06-12,MARUTI,EQ,7464.85,7445.0,7450.0,7355.5,7375.0,7373.65,7395.21,454342,335995520920000.0,45067.0,192329,0.4233
2017-06-13,MARUTI,EQ,7373.65,7394.6,7455.0,7335.0,7342.0,7348.95,7394.22,607567,449248137345000.0,58498.0,256546,0.42229999999999995
2017-06-14,MARUTI,EQ,7348.95,7343.0,7392.45,7331.85,7352.0,7351.05,7359.55,277472,204206984515000.0,36585.0,116310,0.4192
2017-06-15,MARUTI,EQ,7351.05,7348.35,7393.0,7272.15,7302.95,7312.3,7323.55,388150,284263597965000.0,44880.0,166096,0.4279
2017-06-16,MARUTI,EQ,7312.3,7332.0,7360.05,7250.0,7272.0,7263.9,7284.75,547028,398496115425000.0,51164.0,343895,0.6287
2017-06-19,MARUTI,EQ,7263.9,7314.0,7322.15,7235.0,7250.0,7249.25,7267.32,372747,270887269955000.03,37153.0,214919,0.5766
2017-06-20,MARUTI,EQ,7249.25,7265.0,7283.65,7190.3,7207.05,7207.25,7242.38,757716,548766432195000.0,54031.0,513331,0.6775
2017-06-21,MARUTI,EQ,7207.25,7220.0,7284.5,7153.3,7279.0,7268.2,7227.2,460423,332756763515000.0,46064.0,230633,0.5009
2017-06-22,MARUTI,EQ,7268.2,7291.0,7352.0,7288.0,7320.0,7316.1,7326.33,436033,319452310505000.0,64237.0,239676,0.5497
2017-06-23,MARUTI,EQ,7316.1,7321.25,7331.65,7205.0,7225.0,7219.15,7235.37,355854,257473578594999.97,53841.0,178046,0.5003
2017-06-27,MARUTI,EQ,7219.15,7239.5,7267.2,7155.1,7175.0,7183.35,7190.3,365667,262925365690000.0,42155.0,177272,0.48479999999999995
2017-06-28,MARUTI,EQ,7183.35,7213.95,7324.0,7205.0,7230.1,7225.05,7259.6,637214,462591852360000.06,61871.0,308168,0.48360000000000003
2017-06-29,MARUTI,EQ,7225.05,7254.9,7290.0,7205.0,7213.8,7224.35,7238.32,543979,393749548985000.0,40635.0,303446,0.5578000000000001
2017-06-30,MARUTI,EQ,7224.35,7214.8,7233.6,7157.15,7201.25,7217.6,7193.36,367886,264633581340000.0,48492.0,198560,0.5397
2017-07-03,MARUTI,EQ,7217.6,7238.9,7365.0,7211.2,7359.0,7354.0,7322.32,556846,407740561050000.0,58041.0,220432,0.39590000000000003
2017-07-04,MARUTI,EQ,7354.0,7386.0,7415.05,7340.0,7364.0,7376.15,7377.94,428293,315992042160000.0,45813.0,169247,0.39520000000000005
2017-07-05,MARUTI,EQ,7376.15,7374.75,7394.0,7332.0,7378.0,7377.65,7367.13,273869,201762791315000.0,40371.0,152185,0.5557
2017-07-06,MARUTI,EQ,7377.65,7377.65,7498.0,7376.2,7476.75,7474.05,7455.72,416512,310539594165000.0,48144.0,186357,0.4474
2017-07-07,MARUTI,EQ,7474.05,7470.0,7474.05,7420.0,7428.0,7432.8,7437.78,339803,252738000210000.0,32659.0,189042,0.5563
2017-07-10,MARUTI,EQ,7432.8,7500.5,7500.5,6700.0,7433.3,7430.45,7437.62,47433,35278866640000.0,4351.0,22111,0.4662
2017-07-11,MARUTI,EQ,7430.45,7473.9,7495.0,7400.0,7452.2,7457.0,7444.31,423681,315401226835000.0,56319.0,230854,0.5449
2017-07-12,MARUTI,EQ,7457.0,7485.0,7485.0,7435.1,7463.1,7476.65,7466.77,233096,174047330215000.0,28925.0,119139,0.5111
2017-07-13,MARUTI,EQ,7476.65,7490.0,7574.5,7465.15,7561.0,7567.55,7535.89,472029,355715729485000.0,42641.0,232821,0.4932
2017-07-14,MARUTI,EQ,7567.55,7574.95,7588.95,7520.0,7560.9,7557.25,7551.75,267450,201971462595000.0,37160.0,107831,0.4032
2017-07-17,MARUTI,EQ,7557.25,7571.95,7578.0,7504.3,7508.8,7522.3,7533.01,289180,217839526790000.0,44010.0,194450,0.6724
2017-07-18,MARUTI,EQ,7522.3,7525.0,7591.5,7515.0,7538.0,7549.35,7561.58,387214,292795072355000.0,68082.0,265121,0.6847
2017-07-19,MARUTI,EQ,7549.35,7564.25,7584.0,7535.0,7555.55,7561.5,7561.92,223986,169376417960000.0,41923.0,119098,0.5317000000000001
2017-07-20,MARUTI,EQ,7561.5,7580.0,7584.5,7480.05,7495.0,7490.95,7509.19,290547,218177149925000.0,43947.0,180912,0.6227
2017-07-21,MARUTI,EQ,7490.95,7500.0,7549.9,7445.0,7529.0,7543.0,7510.65,434483,326325152960000.0,52723.0,244127,0.5619
2017-07-24,MARUTI,EQ,7543.0,7554.0,7569.0,7495.0,7538.3,7554.55,7536.89,357195,269213834375000.0,47264.0,217768,0.6097
2017-07-25,MARUTI,EQ,7554.55,7573.0,7573.0,7493.55,7500.0,7504.85,7522.08,323585,243403151305000.03,68674.0,209230,0.6466
2017-07-26,MARUTI,EQ,7504.85,7539.0,7595.0,7504.0,7576.0,7565.25,7546.4,377790,285095433995000.0,57294.0,221051,0.5851
2017-07-27,MARUTI,EQ,7565.25,7615.0,7683.4,7536.0,7570.0,7599.6,7614.31,1148259,874319715795000.1,89004.0,276048,0.2404
2017-07-28,MARUTI,EQ,7599.6,7617.0,7673.6,7584.0,7624.1,7630.45,7628.19,459181,350271927600000.0,40044.0,197321,0.42969999999999997
2017-07-31,MARUTI,EQ,7630.45,7664.0,7765.0,7651.0,7745.1,7750.05,7729.18,505371,390610148140000.0,50366.0,262226,0.5189
2017-08-01,MARUTI,EQ,7750.05,7759.9,7920.0,7725.0,7855.0,7856.1,7852.81,1096934,861401950865000.0,95741.0,517735,0.47200000000000003
2017-08-02,MARUTI,EQ,7856.1,7878.9,7880.0,7775.0,7784.9,7795.5,7820.73,414448,324128471740000.0,54770.0,223096,0.5383
2017-08-03,MARUTI,EQ,7795.5,7794.0,7829.0,7711.0,7750.0,7737.4,7754.12,287116,222633258425000.0,40515.0,152494,0.5311
2017-08-04,MARUTI,EQ,7737.4,7750.0,7804.9,7740.0,7775.0,7770.3,7773.88,325021,252667456335000.0,35254.0,158758,0.48850000000000005
2017-08-07,MARUTI,EQ,7770.3,7779.5,7892.35,7771.0,7845.0,7838.65,7846.65,327318,256835027430000.03,44503.0,143208,0.4375
2017-08-08,MARUTI,EQ,7838.65,7849.0,7885.0,7736.9,7762.0,7755.9,7790.15,319951,249246615040000.0,37840.0,130310,0.4073
2017-08-09,MARUTI,EQ,7755.9,7759.0,7795.0,7639.1,7654.95,7661.6,7722.02,285089,220146299505000.03,28758.0,126346,0.44320000000000004
2017-08-10,MARUTI,EQ,7661.6,7637.35,7640.0,7538.9,7600.35,7578.75,7589.69,385730,292757040880000.0,63051.0,193165,0.5008
2017-08-11,MARUTI,EQ,7578.75,7501.9,7533.8,7380.0,7480.0,7457.4,7462.49,676390,504755697635000.06,71324.0,375421,0.555
2017-08-14,MARUTI,EQ,7457.4,7516.0,7647.0,7515.0,7594.9,7608.45,7597.84,328598,249663581055000.03,40458.0,109842,0.3343
2017-08-16,MARUTI,EQ,7608.45,7649.1,7720.1,7585.05,7715.0,7701.15,7667.42,488766,374757650710000.0,51358.0,204795,0.419
2017-08-17,MARUTI,EQ,7701.15,7701.0,7708.85,7565.0,7575.0,7582.45,7628.97,321296,245115758300000.0,32268.0,127876,0.39799999999999996
2017-08-18,MARUTI,EQ,7582.45,7551.0,7624.0,7531.35,7594.9,7598.8,7575.2,332924,252196518794999.97,44490.0,153437,0.46090000000000003
2017-08-21,MARUTI,EQ,7598.8,7629.0,7658.05,7490.0,7503.8,7501.9,7551.36,277519,209564527880000.0,34374.0,107382,0.38689999999999997
2017-08-22,MARUTI,EQ,7501.9,7540.0,7567.5,7475.1,7507.85,7496.1,7508.61,278131,208837761355000.0,37257.0,103984,0.3739
2017-08-23,MARUTI,EQ,7496.1,7548.0,7590.0,7501.0,7570.0,7573.05,7552.37,258051,194889642890000.0,32876.0,76894,0.298
2017-08-24,MARUTI,EQ,7573.05,7536.0,7635.0,7483.6,7609.95,7612.85,7567.76,436912,330644586375000.0,35771.0,196033,0.4487
2017-08-28,MARUTI,EQ,7612.85,7649.0,7649.0,7568.05,7575.2,7579.0,7596.99,391028,297063409770000.0,53876.0,237910,0.6084
2017-08-29,MARUTI,EQ,7579.0,7565.0,7575.55,7495.05,7507.85,7521.5,7528.8,368309,277292368865000.0,44461.0,179324,0.4869
2017-08-30,MARUTI,EQ,7521.5,7603.0,7639.35,7532.5,7559.9,7557.45,7580.64,471048,357084699940000.0,66653.0,210250,0.44630000000000003
2017-08-31,MARUTI,EQ,7557.45,7564.9,7720.4,7532.0,7720.0,7700.3,7654.15,586954,449263486464999.94,58236.0,251970,0.4293
2017-09-01,MARUTI,EQ,7700.3,7747.5,7834.9,7730.0,7807.0,7812.3,7800.66,627407,489418580250000.0,56655.0,219393,0.3497
2017-09-04,MARUTI,EQ,7812.3,7840.0,7876.0,7756.75,7804.95,7821.5,7822.24,362724,283731401650000.0,33764.0,67830,0.187
2017-09-05,MARUTI,EQ,7821.5,7843.0,7855.95,7801.0,7817.0,7817.2,7828.47,182518,142883616780000.0,20755.0,62635,0.3432
2017-09-06,MARUTI,EQ,7817.2,7800.0,7904.0,7770.0,7851.35,7846.65,7849.13,340420,267200127319999.97,31039.0,76899,0.2259
2017-09-07,MARUTI,EQ,7846.65,7888.0,7949.0,7858.5,7920.0,7919.2,7915.91,389478,308307157865000.0,43184.0,153101,0.3931
2017-09-08,MARUTI,EQ,7919.2,7940.45,7979.75,7892.0,7968.0,7970.75,7951.99,341309,271408558010000.0,38432.0,98137,0.28750000000000003
2017-09-11,MARUTI,EQ,7970.75,8000.0,8168.0,8000.0,8144.0,8142.4,8108.94,547463,443934593089999.94,53484.0,220154,0.4021
2017-09-12,MARUTI,EQ,8142.4,8192.0,8192.0,8116.0,8136.3,8154.5,8157.53,387447,316061111565000.0,33808.0,166881,0.4307
2017-09-13,MARUTI,EQ,8154.5,8161.9,8200.0,8100.15,8110.45,8122.6,8151.6,371832,303102497930000.0,34721.0,203726,0.5479
2017-09-14,MARUTI,EQ,8122.6,8139.95,8164.95,8042.05,8071.3,8070.25,8088.42,293890,237710461300000.0,36115.0,99509,0.3386
2017-09-15,MARUTI,EQ,8070.25,8076.95,8119.1,8043.5,8099.0,8099.75,8092.26,400099,323770404535000.0,31988.0,228565,0.5713
2017-09-18,MARUTI,EQ,8099.75,8130.7,8185.0,8130.7,8168.0,8157.85,8160.0,219992,179513428225000.0,22767.0,100409,0.45640000000000003
2017-09-19,MARUTI,EQ,8157.85,8178.0,8184.95,8124.45,8143.9,8131.7,8155.04,245577,200268970550000.0,26708.0,135456,0.5516
2017-09-20,MARUTI,EQ,8131.7,8164.4,8164.4,8109.1,8118.5,8120.15,8124.92,185837,150991111125000.0,24416.0,98768,0.5315
2017-09-21,MARUTI,EQ,8120.15,8101.0,8170.9,8075.1,8170.0,8144.95,8120.19,258168,209637337040000.0,31776.0,132281,0.5124000000000001
2017-09-22,MARUTI,EQ,8144.95,8145.0,8175.5,8050.0,8058.0,8068.2,8101.02,366359,296788262075000.0,55761.0,179857,0.49090000000000006
2017-09-25,MARUTI,EQ,8068.2,8074.0,8089.0,7855.05,7978.15,7964.95,7929.98,626129,496518987264999.94,60944.0,327164,0.5225
2017-09-26,MARUTI,EQ,7964.95,7980.0,7980.05,7869.1,7879.0,7889.9,7910.53,440508,348465288595000.0,52873.0,257433,0.5844
2017-09-27,MARUTI,EQ,7889.9,7949.0,7978.0,7715.0,7735.0,7739.95,7831.68,564788,442323634464999.94,48920.0,218687,0.3872
2017-09-28,MARUTI,EQ,7739.95,7735.1,7920.0,7651.0,7902.3,7897.35,7820.87,768225,600818995105000.0,72357.0,318837,0.41500000000000004
2017-09-29,MARUTI,EQ,7897.35,7960.0,8007.8,7925.0,7984.0,7978.2,7970.25,486217,387527209020000.0,55603.0,230262,0.4736
2017-10-03,MARUTI,EQ,7978.2,8055.35,8069.05,7855.0,7867.15,7888.3,7911.91,516298,408490273395000.0,78087.0,225861,0.4375
2017-10-04,MARUTI,EQ,7888.3,7894.0,7933.9,7830.6,7838.0,7847.2,7883.88,301347,237578227415000.0,33581.0,120614,0.40020000000000006
2017-10-05,MARUTI,EQ,7847.2,7836.0,7901.0,7807.2,7832.0,7831.05,7850.97,272177,213685348795000.0,36700.0,94712,0.348
2017-10-06,MARUTI,EQ,7831.05,7864.95,7919.0,7845.05,7906.9,7903.2,7882.2,440453,347174018175000.0,36002.0,154233,0.3502
2017-10-09,MARUTI,EQ,7903.2,7909.0,7957.0,7866.7,7891.2,7896.7,7906.04,261839,207010997790000.0,34666.0,115479,0.441
2017-10-10,MARUTI,EQ,7896.7,7890.5,7934.9,7885.3,7886.0,7893.7,7909.7,224485,177560792720000.0,32869.0,126536,0.5637
2017-10-11,MARUTI,EQ,7893.7,7892.0,7898.85,7801.0,7830.0,7825.15,7837.28,644166,504850764745000.0,96296.0,401237,0.6229
2017-10-12,MARUTI,EQ,7825.15,7845.0,7918.0,7830.0,7897.85,7904.25,7878.22,396436,312320969005000.0,33477.0,157885,0.3983
2017-10-13,MARUTI,EQ,7904.25,7900.0,7940.0,7860.05,7872.0,7874.15,7885.25,328108,258721230719999.97,38728.0,203901,0.6214000000000001
2017-10-16,MARUTI,EQ,7874.15,7900.0,7935.0,7814.0,7847.0,7842.0,7854.84,502632,394809568580000.0,58158.0,275290,0.5477000000000001
2017-10-17,MARUTI,EQ,7842.0,7851.0,7902.3,7830.9,7856.0,7838.9,7861.99,304861,239681346425000.0,29378.0,135132,0.44329999999999997
2017-10-18,MARUTI,EQ,7838.9,7859.0,7873.05,7748.2,7780.0,7784.05,7802.69,489207,381713131190000.0,45687.0,171926,0.3514
2017-10-19,MARUTI,EQ,7784.05,7803.0,7803.0,7690.0,7694.0,7731.1,7754.3,115449,89522647850000.0,13032.0,58460,0.5064
2017-10-23,MARUTI,EQ,7731.1,7748.8,7860.0,7714.0,7859.0,7818.5,7769.78,471496,366342084620000.0,60700.0,237896,0.5046
2017-10-24,MARUTI,EQ,7818.5,7865.3,7932.2,7841.6,7875.0,7875.0,7888.17,354257,279444106665000.0,41502.0,155480,0.4389
2017-10-25,MARUTI,EQ,7875.0,7930.0,7945.0,7810.3,7855.1,7870.2,7870.86,254379,200218167020000.0,34624.0,125543,0.49350000000000005
2017-10-26,MARUTI,EQ,7870.2,7900.0,8086.0,7866.2,8063.6,8068.05,8006.01,684763,548222245050000.0,67778.0,305073,0.4455
2017-10-27,MARUTI,EQ,8068.05,8123.95,8240.0,8062.6,8101.2,8114.45,8173.53,1201080,981705888475000.0,93252.0,276626,0.2303
2017-10-30,MARUTI,EQ,8114.45,8200.0,8279.0,8163.3,8195.0,8195.25,8228.63,726605,597896090335000.0,74718.0,425517,0.5856
2017-10-31,MARUTI,EQ,8195.25,8195.0,8226.5,8167.2,8220.0,8211.25,8203.57,318652,261408510390000.0,42480.0,160128,0.5025000000000001
2017-11-01,MARUTI,EQ,8211.25,8251.0,8256.45,8160.0,8246.0,8238.4,8211.73,631375,518468277614999.94,64104.0,374692,0.5935
2017-11-02,MARUTI,EQ,8238.4,8250.0,8273.95,8201.0,8227.6,8225.8,8232.59,247753,203964767870000.0,29360.0,143780,0.5803
2017-11-03,MARUTI,EQ,8225.8,8235.0,8242.9,8175.0,8220.0,8219.4,8211.87,288916,237253998260000.0,28858.0,162490,0.5624
